No,Group model,Pre-whitening,Dataset,Assumed design,Null data,Avg. % of brain that is significant
1,random effects,AFNI     ,REST: FCP Beijing (TR=2s)             ,boxcar28 ,1,1.2%
2,random effects,AFNI     ,REST: FCP Cambridge (TR=3s)           ,boxcar12 ,1,1.3%
3,random effects,AFNI     ,REST: NKI (TR=1.4s)                   ,boxcar36 ,1,0.8%
4,random effects,AFNI     ,REST: CRIC (TR=2s)                    ,boxcar28 ,1,0.6%
5,random effects,AFNI     ,REST: neuRosim simulated (TR=2s)      ,boxcar24  ,1,0.2%
6,random effects,AFNI     ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar14 ,1,0.8%
7,random effects,AFNI     ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar18 ,1,1.0%
8,random effects,AFNI     ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar20 ,0,7.1%
9,random effects,AFNI     ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar22 ,1,5.8%
10,random effects,AFNI     ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar24 ,1,0.7%
11,random effects,AFNI     ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar32 ,1,0.3%
12,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar14 ,1,0.3%
13,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar16 ,1,1.0%
14,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar18 ,1,0.6%
15,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar20 ,0,10.3%
16,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar22 ,1,12.2%
17,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar30 ,1,0.8%
18,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar32 ,1,4.0%
19,random effects,AFNI     ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar34 ,1,4.4%
20,random effects,AFNI      ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar36 ,1,1.8%
21,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar12 ,0,74.8%
22,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar14 ,1,23.5%
23,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar16 ,1,5.9%
24,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar18 ,1,30.2%
25,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar22 ,1,1.1%
26,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar28 ,1,18.1%
27,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar36 ,1,70.5%
28,random effects,AFNI     ,TASK: BMMR checkerboard (TR=3s)       ,boxcar38 ,1,4.5%
29,random effects,AFNI     ,TASK: CamCAN sensorimotor (TR=1.97s)  ,event1   ,0,20.1%
30,random effects,FSL      ,REST: FCP Beijing (TR=2s)             ,boxcar18 ,1,1.3%
31,random effects,FSL      ,REST: FCP Beijing (TR=2s)             ,boxcar28 ,1,3.0%
32,random effects,FSL      ,REST: FCP Cambridge (TR=3s)           ,boxcar12 ,1,0.9%
33,random effects,FSL      ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar14 ,1,1.5%
34,random effects,FSL      ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar18 ,1,2.2%
35,random effects,FSL      ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar20 ,0,7.5%
36,random effects,FSL      ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar22 ,1,8.0%
37,random effects,FSL      ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar24 ,1,4.5%
38,random effects,FSL      ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar26 ,1,0.8%
39,random effects,FSL      ,TASK: NKI checkerboard (TR=1.4s)      ,boxcar32 ,1,0.3%
40,random effects,FSL      ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar20 ,0,9.1%
41,random effects,FSL      ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar22 ,1,9.7%
42,random effects,FSL      ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar32 ,1,2.4%
43,random effects,FSL      ,TASK: NKI checkerboard (TR=0.645s)    ,boxcar34 ,1,1.9%
44,random effects,FSL      ,TASK: BMMR checkerboard (TR=3s)       ,boxcar12 ,0,62.4%
45,random effects,FSL      ,TASK: BMMR checkerboard (TR=3s)       ,boxcar14 ,1,9.6%
46,random effects,FSL      ,TASK: BMMR checkerboard (TR=3s)       ,boxcar18 ,1,6.2%
47,random effects,FSL      ,TASK: BMMR checkerboard (TR=3s)       ,boxcar36 ,1,38.0%
48,random effects,FSL       ,TASK: CamCAN sensorimotor (TR=1.97s)  ,event1   ,0,35.4%
49,random effects,SPM      ,REST: FCP Beijing (TR=2s)             ,boxcar18 ,1,1.6%
50,random effects,SPM      ,REST: FCP Beijing (TR=2s)             ,boxcar28 ,1,1.4%
51,random effects,SPM      ,REST: FCP Beijing (TR=2s)             ,boxcar30 ,1,0.3%
52,random effects,SPM      ,REST: FCP Cambridge (TR=3s)           ,boxcar12 ,1,1.4%
